,view_name,view_type,view_source_type,view_source_name,view_file_location,syntax_error
168,ndt_in_sfmc_journey,derived_table,explore,ndt_in_sfmc_journey,ndt_in_sfmc_journey.view.lkml,
271,ndt_involuntary_winback,derived_table,explore,involuntary_winback_all,ndt_involuntary_winback.view.lkml,
169,ndt_involuntary_winback_final,derived_table,explore,involuntary_winback_final,ndt_involuntary_winback_final.view.lkml,
277,ndt_involuntary_winback_monthly,derived_table,explore,involuntary_winback_monthly,ndt_involuntary_winback_monthly.view.lkml,
234,ndt_involuntary_winback_monthly_60d,derived_table,explore,involuntary_winback,ndt_involuntary_winback_monthly_60d.view.lkml,
12,ndt_is_onboarded,derived_table,explore,ndt_events,ndt_is_onboarded.view.lkml,
40,ndt_last_upgrade_probability,derived_table,explore,upgrade_probability,ndt_last_upgrade_probability.view.lkml,
11,ndt_last_upm_predictions,derived_table,explore,upm_predictions,ndt_last_upm_predictions.view.lkml,
281,ndt_masterlock_businesses,derived_table,explore,masterlock_businesses,ndt_masterlock_businesses.view.lkml,
91,ndt_migration_enabled,derived_table,explore,system_feature,ndt_migration_enabled.view.lkml,
162,ndt_migration_invited,derived_table,explore,selligent_summary_raw,ndt_migration_invited.view.lkml,
67,ndt_monthly_advanced_payments,derived_table,explore,monthly_advanced_payments,ndt_monthly_advanced_payments.view.lkml,
198,ndt_monthly_fact_estimates_and_proposals,derived_table,explore,monthly_estimates,ndt_monthly_fact.view.lkml,
199,ndt_monthly_fact_expenses,derived_table,explore,monthly_expenses,ndt_monthly_fact.view.lkml,
232,ndt_monthly_payment_system_engagement,derived_table,explore,payments_monthly_systems,ndt_monthly_payment_system_engagement.view.lkml,
163,ndt_monthly_payments,derived_table,explore,monthly_payments_systems,ndt_monthly_payments.view.lkml,
282,ndt_monthly_podcasts_stats,derived_table,explore,report_systems,ndt_monthly_podcasts_stats.view.lkml,
267,ndt_monthly_retainers,derived_table,explore,retainer_monthly_helper,ndt_monthly_retainers.view.lkml,
255,ndt_monthly_seats,derived_table,explore,monthly_seats_activity,ndt_monthly_seats.view.lkml,
66,ndt_monthly_time_entries,derived_table,explore,monthly_time_tracking,ndt_monthly_time_entries.view.lkml,
200,ndt_monthly_zendesk_tickets,derived_table,explore,zendesk_monthly_cases,ndt_monthly_fact.view.lkml,
207,ndt_optimize_experimentid,derived_table,explore,optimize_experimentid,ndt_optimize_experimentid.view.lkml,
295,ndt_paying_subscriber_base,derived_table,explore,report_subscribers,ndt_paying_subscriber_base.view.lkml,
259,ndt_paying_subscriber_base_by_month,derived_table,explore,ndt_paying_subscriber_base,ndt_paying_subscriber_base_by_month.view.lkml,
152,ndt_payment_monthly,derived_table,explore,systemid_all_payments,ndt_payment_monthly.view.lkml,
21,ndt_payment_system_engagement,derived_table,explore,payments_systems,ndt_payment_system_engagement.view.lkml,
235,ndt_payments_r12m,derived_table,explore,systemid_all_payments,ndt_payments_r12m.view.lkml,
278,ndt_payments_r12m_summary,derived_table,explore,ndt_payments_r12m,ndt_payments_r12m_summary.view.lkml,
47,ndt_pd_build_commits_with_deploy,derived_table,explore,pd_build_commits_with_deploy,ndt_pd_build_commits_with_deploy.view.lkml,
127,ndt_retainers,derived_table,explore,retainer_helper,ndt_retainers.view.lkml,
98,ndt_seats_avg,derived_table,explore,avg_seats,ndt_seats_avg.view.lkml,
16,ndt_seats_funnels,derived_table,explore,seats_funnels,ndt_seats_funnels.view.lkml,
5,ndt_sf_systemid,derived_table,explore,salesforce_systemid,ndt_sf_systemid.view.lkml,
38,ndt_sf_systemid_dim,derived_table,explore,ndt_sf_systemid,ndt_sf_systemid_dim.view.lkml,
315,ndt_system_adwords_adgroup,derived_table,explore,report_systems,ndt_system_adwords_adgroup.view.lkml,
146,ndt_system_daily_estimate,derived_table,explore,estimate,ndt_system_daily_estimate.view.lkml,
221,ndt_system_daily_expense,derived_table,explore,expense,ndt_system_daily_expense.view.lkml,
48,ndt_system_daily_gateway_txns,derived_table,explore,gateway_txns,ndt_system_daily_gateway_txns.view.lkml,
55,ndt_system_daily_invoice,derived_table,explore,invoice,ndt_system_daily_invoice.view.lkml,
215,ndt_system_daily_seats,derived_table,explore,seats_activity,ndt_system_daily_seats.view.lkml,
32,ndt_system_daily_seats_activity,derived_table,explore,seats_activity,ndt_system_daily_seats_activity.view.lkml,
17,ndt_system_seats,derived_table,explore,ndt_system_seats_funnels,ndt_seats_funnels.view.lkml,
7,ndt_telesales_lead_generation,derived_table,explore,telesales_lead_generation,ndt_telesales_lead_generation.view.lkml,
280,ndt_telesales_pilot_date_dims,derived_table,explore,telesales_pilot_disposition,ndt_telesales_pilot_date_dims.view.lkml,
285,ndt_telesales_pilot_last_disposition,derived_table,explore,explore_telesales_last_disposition,ndt_telesales_pilot_last_disposition.view.lkml,
143,ndt_telesales_sales_dims,derived_table,explore,telesales_pilot_disposition,ndt_telesales_sales_dims.view.lkml,
103,ndt_time_entries,derived_table,explore,system_time_tracking,ndt_time_entries.view.lkml,
279,ndt_time_tracking_funnel,derived_table,explore,system_time_tracking,ndt_time_tracking_funnel.view.lkml,
195,ndt_timesheet_user,derived_table,explore,timesheet_entry_stable,ndt_timesheet_user.view.lkml,
79,ndt_vt_user,derived_table,explore,ndt_events,ndt_vt_user.view.lkml,
37,ndt_zendesk_date_dims,derived_table,explore,zendesk_date_dims,ndt_zendesk_date_dims.view.lkml,
76,payments_last_30_days,derived_table,explore,payments_with_gateway,payments_ndt.view.lkml,
306,spend_daily_data_by_reporting_channel,derived_table,explore,spend_daily_data,SPEND_daily_data.view.lkml,
137,spend_monthly_data_by_reporting_channel,derived_table,explore,spend_monthly_data,SPEND_monthly_data.view.lkml,
298,standard_report_events,derived_table,explore,standard_report_events_explore,standard_report_events.view.lkml,
213,standard_report_journey,derived_table,explore,standard_report_journey_explore,standard_report_journey.view.lkml,
52,standard_report_omnichannel,derived_table,explore,standard_report_omnichannel_explore,standard_report_campaign_specific.view.lkml,
49,standard_report_otm,derived_table,explore,standard_report_otm_explore,standard_report_campaign_specific.view.lkml,
316,standard_report_revenue,derived_table,explore,standard_report_revenue_explore,standard_report_revenue.view.lkml,
214,standard_report_segment,derived_table,explore,standard_report_segment_explore,standard_report_journey.view.lkml,
185,standard_report_upgrade,derived_table,explore,standard_report_upgrade_explore,standard_report_upgrade.view.lkml,
303,apple_subscription_manager,derived_table,sql,custom_sql_query,apple_subscription_manager.view.lkml,
246,bad_domain_table,derived_table,sql,custom_sql_query,bad_domain_table.view.lkml,
110,bad_ip_table,derived_table,sql,custom_sql_query,bad_ip_table.view.lkml,
102,cashedge_user,derived_table,sql,custom_sql_query,cashedge_user.view.lkml,
299,client,derived_table,sql,custom_sql_query,client.view.lkml,
276,clutter_yodlee_percent_users_banned_last_day,derived_table,sql,custom_sql_query,clutter_yodlee_percent_users_banned_last_day.view.lkml,
176,clutter_yodlee_provider_accounts_90_days,derived_table,sql,custom_sql_query,clutter_yodlee_provider_accounts_90_days.view.lkml,
188,clutter_yodlee_suspected_evil_businesses_7_days,derived_table,sql,custom_sql_query,clutter_yodlee_suspected_evil_businesses_7_days.view.lkml,
242,clutter_yodlee_suspected_evil_doers,derived_table,sql,custom_sql_query,clutter_yodlee_suspected_evil_doers.view.lkml,
87,clutter_yodlee_suspected_evil_identities_7_days,derived_table,sql,custom_sql_query,clutter_yodlee_suspected_evil_identities_7_days.view.lkml,
182,cohort_churn_units,derived_table,sql,custom_sql_query,cohort_churn_units.view.lkml,
96,cohort_eop_subs_by_tpv_tiers,derived_table,sql,custom_sql_query,cohort_eop_subs_by_tpv_tiers.view.lkml,
254,cohort_mod_up_down_seats,derived_table,sql,custom_sql_query,cohort_mod_up_down_seats.view.lkml,
310,cohorts_payment_vol_by_month,derived_table,sql,custom_sql_query,cohorts_payment_vol_by_month.view.lkml,
201,cycle_helper_table,derived_table,sql,custom_sql_query,cycle_helper_table.view.lkml,
39,daily_sub_total,derived_table,sql,custom_sql_query,daily_sub_total.view.lkml,
247,day_in_month_trials_index,derived_table,sql,custom_sql_query,lookup_views.view.lkml,
167,dt_channel_daily,derived_table,sql,custom_sql_query,dt_channel_daily.view.lkml,
57,fact_gateway_txns,derived_table,sql,custom_sql_query,fact_gateway_txns.view.lkml,
224,fact_ltv_table,derived_table,sql,custom_sql_query,FACT_LTV_TABLE.view.lkml,
240,fact_migration_valuation,derived_table,sql,custom_sql_query,fact_migration_valuation.view.lkml,
125,fact_monthly_subscriptions,derived_table,sql,custom_sql_query,FACT_monthly_subscriptions.view.lkml,
30,fact_monthly_tpv,derived_table,sql,custom_sql_query,FACT_monthly_TPV.view.lkml,
274,fact_payment_txns,derived_table,sql,custom_sql_query,fact_payment_txns.view.lkml,
227,migration_model_with_feature_usage,derived_table,sql,custom_sql_query,migration_model_with_feature_usage.view.lkml,
287,min_max_dates,derived_table,sql,custom_sql_query,min_max_dates.view.lkml,
93,ndt_smux_churn_tenure_and_cohort,derived_table,sql,custom_sql_query,ndt_smux_churn_tenure_cohort.view.lkml,
263,nfb_newly_eligible_systems,derived_table,sql,custom_sql_query,nfb_newly_eligible_systems.view.lkml,
107,payment_first_last_use,derived_table,sql,custom_sql_query,payment_first_last_use.view.lkml,
94,payment_out,derived_table,sql,custom_sql_query,payment_out.view.lkml,
238,payments_daily_helper,derived_table,sql,custom_sql_query,payments_daily_helper.view.lkml,
230,payments_in_week_helper,derived_table,sql,custom_sql_query,payments_in_week_helper.view.lkml,
264,product_helper_table,derived_table,sql,custom_sql_query,product_helper_table.view.lkml,
269,product_subscription_events,derived_table,sql,custom_sql_query,product_subscription_events.view.lkml,
187,report_system_movement,derived_table,sql,custom_sql_query,report_system_movement.view.lkml,
174,report_system_movement_by_type,derived_table,sql,custom_sql_query,report_system_movement_by_type.view.lkml,
300,report_system_movement_monthly,derived_table,sql,custom_sql_query,report_system_movement_monthly.view.lkml,
144,report_system_movement_weekly,derived_table,sql,custom_sql_query,report_system_movement_weekly.view.lkml,
89,report_systems_last_downgrade,derived_table,sql,custom_sql_query,report_systems_last_downgrade.view.lkml,
82,report_systems_last_upgrade,derived_table,sql,custom_sql_query,report_systems_last_upgrade.view.lkml,
138,selligent_email_drip_logins,derived_table,sql,custom_sql_query,selligent_email_drips_logins.view.lkml,
194,selligent_mailing_logs,derived_table,sql,custom_sql_query,selligent_mailing_logs.view.lkml,
252,selligent_random_speed_chart,derived_table,sql,custom_sql_query,selligent_random_speed_chart.view.lkml,
253,selligent_random_speed_chart_opened_email,derived_table,sql,custom_sql_query,selligent_random_speed_chart.view.lkml,
262,sfmc_email_moving_average,derived_table,sql,custom_sql_query,sfmc_email_moving_average.view.lkml,
131,signup_month,derived_table,sql,custom_sql_query,signup_month.view.lkml,
147,single_industry_table,derived_table,sql,custom_sql_query,single_industry_table.view.lkml,
202,source_combined_daily_spend,derived_table,sql,custom_sql_query,source_combined_daily_spend.view.lkml,
305,spend_daily_data,derived_table,sql,custom_sql_query,SPEND_daily_data.view.lkml,
136,spend_monthly_data,derived_table,sql,custom_sql_query,SPEND_monthly_data.view.lkml,
92,stamps,derived_table,sql,custom_sql_query,stamps.view.lkml,
68,standard_report_dt_subscribers,derived_table,sql,custom_sql_query,standard_report_dt_subscribers.view.lkml,
190,standard_report_email,derived_table,sql,custom_sql_query,standard_report_email.view.lkml,
236,standard_report_offer,derived_table,sql,custom_sql_query,standard_report_offer.view.lkml,
250,subscription_events,derived_table,sql,custom_sql_query,subscription_events.view.lkml,
192,subscription_events_2_0,derived_table,sql,custom_sql_query,subscription_events_2_0.view.lkml,
34,subscription_events_3_0,derived_table,sql,custom_sql_query,subscription_events_3_0.view.lkml,
317,subscription_tab_helper_table,derived_table,sql,custom_sql_query,subscription_tab_helper_table.view.lkml,
261,system_acquisition_channel,derived_table,sql,custom_sql_query,system_acquisition_channel.view.lkml,
208,system_active_user_count,derived_table,sql,custom_sql_query,system_active_user_count.view.lkml,
69,system_event_aggr_hqt,derived_table,sql,custom_sql_query,system_event_aggr_hqt.view.lkml,
173,system_feature_usage,derived_table,sql,custom_sql_query,system_feature_usage.view.lkml,
268,system_mail_balance,derived_table,sql,custom_sql_query,system_mail_balance.view.lkml,
161,test_upgrade_activity,derived_table,sql,custom_sql_query,test_upgrade_activity.view.lkml,
64,upm_predictions,derived_table,sql,custom_sql_query,upm_predictions.view.lkml,
62,weekly_bop_eop_subs,derived_table,sql,custom_sql_query,weekly_bop_eop_subs.view.lkml,
153,z,derived_table,sql,custom_sql_query,z.view.lkml,
154,zz,derived_table,sql,custom_sql_query,z.view.lkml,
20,active_project,sql_table,sql,converse.project,project.view.lkml,
166,advanced_accounting_accounts_aging,sql_table,sql,heap.advanced_accounting_accounts_aging,advanced_accounting_accounts_aging.view.lkml,
13,advanced_accounting_balance_sheet,sql_table,sql,heap.advanced_accounting_view_balance_sheet,advanced_accounting_balance_sheet.view.lkml,
237,advanced_accounting_chart_of_accounts,sql_table,sql,heap.advanced_accounting_view_chart_of_accounts,advanced_accounting_chart_of_accounts.view.lkml,
296,advanced_accounting_chart_of_accounts_save_entry,sql_table,sql,heap.advanced_accounting_filter_profit_loss,advanced_accounting_chart_of_accounts_save_entry.view.lkml,
231,advanced_accounting_expense_report,sql_table,sql,heap.advanced_accounting_expense_report,advanced_accounting_expense_report.view.lkml,
108,advanced_accounting_filter_general_ledger,sql_table,sql,heap.advanced_accounting_filter_general_ledger,advanced_accounting_filter_general_ledger.view.lkml,
33,advanced_accounting_filter_profit_loss,sql_table,sql,heap.advanced_accounting_filter_profit_loss,advanced_accounting_filter_profit_loss.view.lkml,
135,advanced_accounting_filter_trial_balance,sql_table,sql,heap.advanced_accounting_filter_trial_balance,advanced_accounting_filter_trial_balance.view.lkml,
45,advanced_accounting_general_ledger,sql_table,sql,heap.advanced_accounting_view_general_ledger,advanced_accounting_general_ledger.view.lkml,
104,advanced_accounting_invoice_details,sql_table,sql,heap.advanced_accounting_invoice_details,advanced_accounting_invoice_details.view.lkml,
150,advanced_accounting_payments_collected,sql_table,sql,heap.advanced_accounting_payments_collected,advanced_accounting_payments_collected.view.lkml,
27,advanced_accounting_profit_loss,sql_table,sql,heap.advanced_accounting_pl_dashboard_click,advanced_accounting_profit_loss.view.lkml,
9,advanced_accounting_sales_tax_summary,sql_table,sql,heap.advanced_accounting_sales_tax_summary,advanced_accounting_sales_tax_summary.view.lkml,
22,advanced_accounting_send_general_ledger,sql_table,sql,heap.advanced_accounting_send_general_ledger,advanced_accounting_send_general_ledger.view.lkml,
58,advanced_accounting_send_profit_loss,sql_table,sql,heap.advanced_accounting_send_profit_loss,advanced_accounting_send_profit_loss.view.lkml,
265,advanced_accounting_send_trial_balance,sql_table,sql,heap.advanced_accounting_send_trial_balance,advanced_accounting_send_trial_balance.view.lkml,
216,advanced_accounting_time_entry_details,sql_table,sql,heap.advanced_accounting_time_entry_details,advanced_accounting_time_entry_details.view.lkml,
172,advanced_accounting_trial_balance,sql_table,sql,heap.advanced_accounting_view_trial_balance,advanced_accounting_trial_balance.view.lkml,
3,apollo_budget,sql_table,sql,periscope_bucket.apollo_budget,apollo_budget.view.lkml,
288,aria_monthly_with_deferred_last_month,sql_table,sql,wild_west.aria_monthly_with_deferred_last_month,aria_monthly_with_deferred_last_month.view.lkml,
105,aria_yearly_with_deferred_last_month,sql_table,sql,wild_west.aria_yearly_with_deferred_last_month,aria_yearly_with_deferred_last_month.view.lkml,
85,base_marketing_budget,sql_table,sql,analytics.base_marketing_budget,base_marketing_budget.view.lkml,
6,business_survey_results,sql_table,sql,analytics.business_survey_results,business_survey_results.view.lkml,
60,card_reader_order,sql_table,sql,cardapp.card_reader_order,card_reader_order.view.lkml,
41,clusters,sql_table,sql,periscope_bucket.trial_cluster_predictions,clusters.view.lkml,
159,clutter_yodlee_bankharvester_yodlee_users,sql_table,sql,bankharvester.yodlee_user,clutter_yodlee_bankharvester_yodlee_users.view.lkml,
205,coalesced_live_shards_system,sql_table,sql,"coalesced_live_shards.""system""",coalesced_live_shards_system.view.lkml,
203,converse_time_entry_invoice_item,sql_table,sql,coalesced_live_shards.converse_time_entry_invoice_item,converse_time_entry_invoice_item.view.lkml,
28,d_adgroup_lookup,sql_table,sql,analytics.d_adgroup_lookup,d_adgroup_lookup.view.lkml,
301,d_billing_account,sql_table,sql,public.d_billing_account,d_billing_account.view.lkml,
43,d_campaign_lookup,sql_table,sql,analytics.d_campaign_lookup,d_campaign_lookup.view.lkml,
61,d_cancel_feedback,sql_table,sql,d_cancel_feedback,d_cancel_feedback.view.lkml,
25,d_date,sql_table,sql,public.d_date,d_date.view.lkml,
311,d_event,sql_table,sql,public.d_event,d_event.view.lkml,
97,d_fundbox_accounts,sql_table,sql,public.d_fundbox_accounts,d_fundbox_accounts.view.lkml,
175,d_fundbox_invoices,sql_table,sql,public.d_fundbox_invoices,d_fundbox_invoices.view.lkml,
273,d_gateway_txn,sql_table,sql,public.d_gateway_txn,d_gateway_txn.view.lkml,
99,d_invoice_gateway_fbpay,sql_table,sql,public.d_invoice_gateway_fbpay,d_invoice_gateway_fbpay.view.lkml,
251,d_keyword_lookup,sql_table,sql,analytics.d_keyword_lookup,d_keyword_lookup.view.lkml,
75,d_marketing_channel_old,sql_table,sql,public.d_marketing_channel,d_marketing_channel.view.lkml,
191,d_offer_code,sql_table,sql,public.d_offer_code,d_offer_code.view.lkml,
80,d_offer_discount,sql_table,sql,public.d_offer_discount,d_offer_discount.view.lkml,
4,d_payment,sql_table,sql,public.d_payment,d_payment.view.lkml,
81,d_plan_change,sql_table,sql,public.d_plan_change,d_plan_change.view.lkml,
266,d_system,sql_table,sql,public.d_system,d_system.view.lkml,
0,d_system_gateway_details,sql_table,sql,public.d_system_gateway_details,d_system_gateway_details.view.lkml,
291,daily_device_usage,sql_table,sql,periscope_bucket.daily_device_usage,daily_device_usage.view.lkml,
2,day_2_upgrade_predictions,sql_table,sql,data_science.day_2_upgrade_predictions,day_2_upgrade_predictions.view.lkml,
197,deferred_upgrade_addons,sql_table,sql,masterlock.deferred_upgrade_addons,deferred_upgrade_addons.view.lkml,
14,deferred_upgrade_packages,sql_table,sql,masterlock.deferred_upgrade_packages,deferred_upgrade_packages.view.lkml,
132,estimate,sql_table,sql,coalesced_live_shards.estimate,estimate.view.lkml,
35,event_counts,sql_table,sql,public.event_counts,event_counts.view.lkml,
73,events_raw,sql_table,sql,events.events_raw,events_raw.view.lkml,
18,expense,sql_table,sql,production_data.live_expense,expense.view.lkml,
26,fbc_ftwb_audiences,sql_table,sql,analytics.fbc_ftwb_audiences,fbc_ftwb_audiences.view.lkml,
56,financial_credits,sql_table,sql,public.financial_credits,financial_credits.view.lkml,
304,first_device,sql_table,sql,periscope_bucket.first_device,first_device.view.lkml,
46,gateway_txns,sql_table,sql,public.gateway_txns,gateway_txns.view.lkml,
257,heap_omnichannel_value_tiles_all,sql_table,sql,heap.value_tiles_new_omni_channel__clicked_on_any_value_tile,heap_omnichannel_value_tiles_all.view.lkml,
24,heap_users,sql_table,sql,heap.users,heap_users.view.lkml,
23,heap_users_raw,sql_table,sql,heap.users,heap_users.view.lkml,
155,heap_view_create_retainer,sql_table,sql,heap.retainers_create_retainer_view,heap_view_create_retainer.view.lkml,
156,identities,sql_table,sql,masterlock.identities,identities.view.lkml,
151,identity_group_memberships,sql_table,sql,masterlock.identity_group_memberships,identity_group_memberships.view.lkml,
307,identity_group_relation,sql_table,sql,dataops_scratch.identity_group_relation,identity_group_relation.view.lkml,
165,invoice,sql_table,sql,production_data.live_invoice,invoice.view.lkml,
134,invoice_audit_log,sql_table,sql,production_data.live_invoice_audit_log,invoice_audit_log.view.lkml,
15,invoice_item,sql_table,sql,coalesced_live_shards.invoice_item_stable,invoice_item.view.lkml,
54,invoice_profile,sql_table,sql,production_data.live_invoice_profile,invoice_profile.view.lkml,
44,live_system,sql_table,sql,production_data.live_system,live_system.view.lkml,
319,ltv_model,sql_table,sql,periscope_bucket.ltv_model,ltv_model.view.lkml,
193,masterlock_beta_features,sql_table,sql,masterlock.beta_features,masterlock_beta_features.view.lkml,
286,masterlock_beta_features_subscriptions,sql_table,sql,masterlock.beta_features_subscriptions,masterlock_beta_features_subscriptions.view.lkml,
239,masterlock_businesses,sql_table,sql,masterlock.businesses,masterlock_businesses.view.lkml,
233,masterlock_emails,sql_table,sql,masterlock.emails,masterlock_emails.view.lkml,
133,masterlock_invitations,sql_table,sql,masterlock.invitations,masterlock_invitations.view.lkml,
308,masterlock_subscriptions,sql_table,sql,masterlock.subscriptions,masterlock_subscriptions.view.lkml,
212,masterlock_vanity_participants,sql_table,sql,production_data.masterlock_vanity_participants,masterlock_vanity_participants.view.lkml,
223,monthly_revenue_by_system,sql_table,sql,wild_west.monthly_revenue_by_system,monthly_revenue_by_system.view.lkml,
78,monthly_revenue_for_netsuite,sql_table,sql,wild_west.monthly_revenue_for_netsuite,monthly_revenue_for_netsuite.view.lkml,
129,nfb_ftwb_audiences,sql_table,sql,analytics.nfb_ftwb_audiences,nfb_ftwb_audiences.view.lkml,
170,optimize_experimentid,sql_table,sql,analytics.optimize_experimentid,optimize_experimentid.view.lkml,
145,optimize_name,sql_table,sql,analytics.optimize_name,optimize_name.view.lkml,
59,other_income,sql_table,sql,coalesced_live_shards.other_income_stable,other_income.view.lkml,
124,payments,sql_table,sql,public.payments,payments.view.lkml,
218,pd_build_commits,sql_table,sql,build_data.pd_build_commits,pd_build_commits.view.lkml,
70,pd_build_deploys,sql_table,sql,build_data.pd_build_deploys,pd_build_deploys.view.lkml,
140,pd_teams,sql_table,sql,build_data.teams,pd_teams.view.lkml,
19,project,sql_table,sql,converse.project,project.view.lkml,
